"name","sku","attribute_set","type","category_ids","price","short_description","description","qty","status","is_in_stock","visibility","custom_design","image","image_label","small_image","small_image_label","thumbnail","thumbnail_label","media_gallery","","","","","",""
"2.641-051.0","KE26410510","default","simple","17 , 30","15.8","Spare part set nozzles 024","Spare part set nozzles 024","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-202.0","KE26412020","default","simple","17 , 30","49.15","Pistol-M replacement packaged V1.1 RM K2","Pistol-M replacement packaged V1.1 RM K2","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-203.0","KE26412030","default","simple","17 , 30","49.1","Pistol-M replacement packaged V1.1 RM K5","Pistol-M replacement packaged V1.1 RM K5","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-222.0","KE26412220","default","simple","17 , 30","25.6","Universal set brushes","Universal set brushes","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-505.0","KE26415050","default","simple","17 , 30","484","Add-on kit hose reel HDS-C","Add-on kit hose reel HDS-C","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-507.0","KE26415070","default","simple","17 , 30","245","Add-on kit assembly hose reel","Add-on kit assembly hose reel","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-610.0","KE26416100","default","simple","17 , 30","33.6","Pistol best Ersatz verpackt","Pistol best Ersatz verpackt","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-706.0","KE26417060","default","simple","17 , 30","82.9","High pressure hose 16MPa/9m 60Â°C, verp.","High pressure hose 16MPa/9m 60Â°C, verp.","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-709.0","KE26417090","default","simple","17 , 30","88.5","XH 6 Q extension hose Quick Connect","XH 6 Q extension hose Quick Connect","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-721.0","KE26417210","default","simple","17 , 30","88.9","H 9 Q high pressure hose Quick Connect","H 9 Q high pressure hose Quick Connect","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-764.0","KE26417640","default","simple","17 , 30","458","Easy-Foam-Set *J","Easy-Foam-Set *J","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-828.0","KE26418280","default","simple","17 , 30","85.4","HK 7.5 high pressure hose set","HK 7.5 high pressure hose set","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-848.0","KE26418480","default","simple","17 , 30","21","Foam nozzle packaged 0,3 l","Foam nozzle packaged 0,3 l","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-866.0","KE26418660","default","simple","17 , 30","1772","ABS hose reel stainless steel","ABS hose reel stainless steel","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.641-959.0","KE26419590","default","simple","17 , 30","38.2","G 160 pistol","G 160 pistol","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.642-157.0","KE26421570","default","simple","17 , 30","2072","ABS remote control HDS M-Klasse","ABS remote control HDS M-Klasse","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.642-172.0","KE26421720","default","simple","17 , 30","53.65","G 160 Q pistol Quick Connect","G 160 Q pistol Quick Connect","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.642-182.0","KE26421820","default","simple","17 , 30","54.5","Hose and pistol *KNA","Hose and pistol *KNA","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.642-305.0","KE26423050","default","simple","17 , 30","305","Add-on kit gutter cleaner","Add-on kit gutter cleaner","1000","1","1","4","rwd/electricbroom","","","","","","","","","","","","",""
"2.642-430.0","KE26424300","default","simple","17 , 30","87.9","Nozzle pack 035","Nozzle pack 035","1000","1","1","4","rwd/electricbroom","i/venturionpartsmanual/page_7.jpg","","i/venturionpartsmanual/small_page_7.jpg","","i/venturionpartsmanual/thumb_page_7.jpg","","i/frv30usermanual/page_003.jpg;i/frv30usermanual/page_007.jpg;i/frv30usermanual/page_011.jpg;i/frv30usermanual/page_015.jpg;i/frv30usermanual/page_019.jpg;i/frv30usermanual/page_023.jpg;i/frv30usermanual/page_027.jpg;i/frv30usermanual/page_031.jpg;i/frv30usermanual/page_035.jpg;i/frv30usermanual/page_039.jpg;i/frv30usermanual/page_043.jpg;i/frv30usermanual/page_047.jpg;i/frv30usermanual/page_051.jpg;i/frv30usermanual/page_055.jpg;i/frv30usermanual/page_059.jpg;i/frv30usermanual/page_063.jpg;i/frv30usermanual/page_067.jpg;i/frv30usermanual/page_071.jpg;i/frv30usermanual/page_075.jpg;i/frv30usermanual/page_079.jpg;i/frv30usermanual/page_083.jpg;i/frv30usermanual/page_087.jpg;i/frv30usermanual/page_091.jpg;i/frv30usermanual/page_095.jpg;i/frv30usermanual/page_099.jpg;i/frv30usermanual/page_103.jpg;i/frv30usermanual/page_107.jpg;i/venturionpartsmanual/page_9.jpg","","","","","",""
"2.642-431.0","KE26424310","default","simple","17 , 30","88.2","Nozzle pack 040","Nozzle pack 040","1000","1","1","4","rwd/electricbroom","i/venturionpartsmanual/page_7.jpg","","i/venturionpartsmanual/small_page_7.jpg","","i/venturionpartsmanual/thumb_page_7.jpg","","i/frv30usermanual/page_003.jpg;i/frv30usermanual/page_007.jpg;i/frv30usermanual/page_011.jpg;i/frv30usermanual/page_015.jpg;i/frv30usermanual/page_019.jpg;i/frv30usermanual/page_023.jpg;i/frv30usermanual/page_027.jpg;i/frv30usermanual/page_031.jpg;i/frv30usermanual/page_035.jpg;i/frv30usermanual/page_039.jpg;i/frv30usermanual/page_043.jpg;i/frv30usermanual/page_047.jpg;i/frv30usermanual/page_051.jpg;i/frv30usermanual/page_055.jpg;i/frv30usermanual/page_059.jpg;i/frv30usermanual/page_063.jpg;i/frv30usermanual/page_067.jpg;i/frv30usermanual/page_071.jpg;i/frv30usermanual/page_075.jpg;i/frv30usermanual/page_079.jpg;i/frv30usermanual/page_083.jpg;i/frv30usermanual/page_087.jpg;i/frv30usermanual/page_091.jpg;i/frv30usermanual/page_095.jpg;i/frv30usermanual/page_099.jpg;i/frv30usermanual/page_103.jpg;i/frv30usermanual/page_107.jpg;i/venturionpartsmanual/page_9.jpg","","","","","",""
"2.642-432.0","KE26424320","default","simple","17 , 30","88.2","Nozzle pack 045","Nozzle pack 045","1000","1","1","4","rwd/electricbroom","i/venturionpartsmanual/page_7.jpg","","i/venturionpartsmanual/small_page_7.jpg","","i/venturionpartsmanual/thumb_page_7.jpg","","i/frv30usermanual/page_003.jpg;i/frv30usermanual/page_007.jpg;i/frv30usermanual/page_011.jpg;i/frv30usermanual/page_015.jpg;i/frv30usermanual/page_019.jpg;i/frv30usermanual/page_023.jpg;i/frv30usermanual/page_027.jpg;i/frv30usermanual/page_031.jpg;i/frv30usermanual/page_035.jpg;i/frv30usermanual/page_039.jpg;i/frv30usermanual/page_043.jpg;i/frv30usermanual/page_047.jpg;i/frv30usermanual/page_051.jpg;i/frv30usermanual/page_055.jpg;i/frv30usermanual/page_059.jpg;i/frv30usermanual/page_063.jpg;i/frv30usermanual/page_067.jpg;i/frv30usermanual/page_071.jpg;i/frv30usermanual/page_075.jpg;i/frv30usermanual/page_079.jpg;i/frv30usermanual/page_083.jpg;i/frv30usermanual/page_087.jpg;i/frv30usermanual/page_091.jpg;i/frv30usermanual/page_095.jpg;i/frv30usermanual/page_099.jpg;i/frv30usermanual/page_103.jpg;i/frv30usermanual/page_107.jpg;i/venturionpartsmanual/page_9.jpg","","","","","",""
